ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
1301852,AM,Iranduba,nacional,2026-09-03,,,
1301902,AM,Itacoatiara,nacional,2026-09-03,,,
1301951,AM,Itamarati,nacional,2026-09-03,,,
1302009,AM,Itapiranga,nacional,2026-09-03,,,
1302108,AM,Japurá,nacional,2026-09-03,,,
1302207,AM,Juruá,nacional,2026-09-03,,,
1302306,AM,Jutaí,nacional,2026-09-03,,,
1302405,AM,Lábrea,nacional,2026-09-03,,,
1302504,AM,Manacapuru,nacional,2026-09-03,,,
1302553,AM,Manaquiri,nacional,2026-09-03,,,
1302603,AM,Manaus,nacional,2026-09-03,plano,,
1302702,AM,Manicoré,nacional,2026-09-03,,,
1302801,AM,Maraã,nacional,2026-09-03,,,
1302900,AM,Maués,nacional,2026-09-03,,,
1303007,AM,Nhamundá,nacional,2026-09-03,,,
1303106,AM,Nova Olinda do Norte,nacional,2026-09-03,,,
1303205,AM,Novo Airão,nacional,2026-09-03,,,
1303304,AM,Novo Aripuanã,nacional,2026-09-03,,,
1303403,AM,Parintins,nacional,2026-09-03,,,
1303502,AM,Pauini,nacional,2026-09-03,,,
1303536,AM,Presidente Figueiredo,nacional,2026-09-03,,,
1303569,AM,Rio Preto da Eva,nacional,2026-09-03,,,
1303601,AM,Santa Isabel do Rio Negro,nacional,2026-09-03,decreto,,
1303700,AM,Santo Antônio do Içá,nacional,2026-09-03,,,
1304005,AM,Silves,nacional,2026-09-03,,,
1303809,AM,São Gabriel da Cachoeira,nacional,2026-09-03,,,
1303908,AM,São Paulo de Olivença,nacional,2026-09-03,,,
1303957,AM,São Sebastião do Uatumã,nacional,2026-09-03,,,
1304062,AM,Tabatinga,nacional,2026-09-03,,,
1304104,AM,Tapauá,nacional,2026-09-03,,,
1304203,AM,Tefé,nacional,2026-09-03,,,
1304237,AM,Tonantins,nacional,2026-09-03,,,
1304260,AM,Uarini,nacional,2026-09-03,,,
1304302,AM,Urucará,nacional,2026-09-03,,,
1304401,AM,Urucurituba,nacional,2026-09-03,,,
1600105,AP,Amapá,nacional,2026-09-03,,,
1600204,AP,Calçoene,nacional,2026-09-03,,,
1600212,AP,Cutias,nacional,2026-09-03,,,
1600238,AP,Ferreira Gomes,nacional,2026-09-03,,,
1600253,AP,Itaubal,nacional,2026-09-03,,,
1600279,AP,Laranjal do Jari,nacional,2026-09-03,nao_el_nino,,
1600303,AP,Macapá,nacional,2026-09-03,,,
1600402,AP,Mazagão,nacional,2026-09-03,nao_el_nino,,
1600501,AP,Oiapoque,nacional,2026-09-03,nao_el_nino,,
1600154,AP,Pedra Branca do Amapari,nacional,2026-09-03,,,
1600535,AP,Porto Grande,nacional,2026-09-03,,,
1600550,AP,Pracuúba,nacional,2026-09-03,,,
