ibge,uf,regiao,municipio,populacao,porte,marcadores,controle,nivel_verificacao,instrumento_localizado,natureza,decreto_reconhecido
2107209,MA,Nordeste,Nina Rodrigues,14060,pequeno_I,geo_hidrologico,False,nacional,,,
2107308,MA,Nordeste,Nova Iorque,4320,pequeno_I,,True,nacional,,,
2107902,MA,Nordeste,Passagem Franca,17220,pequeno_I,,True,nacional,,,
2108306,MA,Nordeste,Penalva,32511,pequeno_II,geo_hidrologico,False,nacional,,,
2109809,MA,Nordeste,Santa Helena,41561,pequeno_II,geo_hidrologico,False,nacional,,,
2109908,MA,Nordeste,Santa Inês,85014,medio,,True,nacional,,,
2110039,MA,Nordeste,Santa Luzia do Paruá,24307,pequeno_II,,True,nacional,,,
2111052,MA,Nordeste,São João do Paraíso,9904,pequeno_I,geo_hidrologico,False,nacional,,,
2111706,MA,Nordeste,São Vicente Ferrer,19498,pequeno_I,,True,nacional,,,
3102050,MG,Sudeste,Alto Caparaó,5795,pequeno_I,geo_hidrologico,False,nacional,,,
3114105,MG,Sudeste,Carmo de Minas,13797,pequeno_I,geo_hidrologico,False,nacional,,,
3118403,MG,Sudeste,Conselheiro Pena,20824,pequeno_II,geo_hidrologico,False,nacional,,,
3126950,MG,Sudeste,Frei Lagonegro,3391,pequeno_I,,True,nacional,,,
3132800,MG,Sudeste,Itambé do Mato Dentro,2142,pequeno_I,,True,nacional,,,
3135308,MG,Sudeste,Japaraíba,4508,pequeno_I,,True,nacional,,,
3136900,MG,Sudeste,Juruaia,11084,pequeno_I,,True,nacional,,,
3143906,MG,Sudeste,Muriaé,104108,grande,geo_hidrologico,False,nacional,,,
3149309,MG,Sudeste,Pedro Leopoldo,62580,medio,geo_hidrologico,False,nacional,,,
3152204,MG,Sudeste,Porteirinha,37438,pequeno_II,,True,nacional,,,
3159902,MG,Sudeste,Santo Antônio do Amparo,17285,pequeno_I,,True,nacional,,,
3165107,MG,Sudeste,São Tomás de Aquino,6740,pequeno_I,,True,nacional,,,
5002001,MS,Centro-Oeste,Batayporã,10712,pequeno_I,geo_hidrologico,False,nacional,,,
5002100,MS,Centro-Oeste,Bela Vista,21613,pequeno_II,geo_hidrologico,False,nacional,,,
5003108,MS,Centro-Oeste,Corguinho,4783,pequeno_I,,True,nacional,,,
5003306,MS,Centro-Oeste,Coxim,32151,pequeno_II,geo_hidrologico,False,nacional,,,
5003454,MS,Centro-Oeste,Deodápolis,13663,pequeno_I,geo_hidrologico,False,nacional,,,
5003488,MS,Centro-Oeste,Dois Irmãos do Buriti,11100,pequeno_I,,True,nacional,,,
5004809,MS,Centro-Oeste,Japorã,8148,pequeno_I,,True,nacional,,,
5005608,MS,Centro-Oeste,Miranda,25536,pequeno_II,geo_hidrologico,False,nacional,decreto,resposta,
5006200,MS,Centro-Oeste,Nova Andradina,48563,pequeno_II,,True,nacional,,,
5006259,MS,Centro-Oeste,Novo Horizonte do Sul,4721,pequeno_I,,True,nacional,,,
5006606,MS,Centro-Oeste,Ponta Porã,92017,medio,geo_hidrologico,False,nacional,,,
5008305,MS,Centro-Oeste,Três Lagoas,132152,grande,geo_hidrologico,False,nacional,,,
5100201,MT,Centro-Oeste,Água Boa,29219,pequeno_II,geo_hidrologico,False,nacional,,,
